,Number Plate,Vehicle Type,Owner Age,License Type,Violation Type,Severity,Date,Time,Location,Repeated Offense,Total Violations,Days Since Last Violation,Weather,Safe
,MH16IJ1234,Car,31,LMV,Speeding,High,2024-10-01,15:00,Pune,No,1,60,Clear,No
,KLO3ME4477,Car,17,LMV,Speeding,High,2024-10-01,15:00,Hyderabad,Yes,1,60,Clear,No
,MH17KL5678,Bike,28,MCWG,No Helmet,Low,2024-09-20,10:30,Mumbai,Yes,1,30,Cloudy,No
,MH18MN6789,Truck,42,HMV,Overloading,High,2024-08-15,12:45,Nashik,No,1,90,Rainy,Yes
,MH19OP1234,Car,36,LMV,Parking,Medium,2024-07-10,14:00,Thane,Yes,3,45,Clear,No
,MH20QR5678,Bike,25,MCWG,Speeding,High,2024-06-05,9:15,Aurangabad,No,1,120,Foggy,Yes
,MH21ST6789,Truck,47,HMV,Signal Jump,Medium,2024-05-20,11:30,Pune,Yes,4,15,Clear,No
,MH22UV1234,Car,29,LMV,No Helmet,Low,2024-04-25,18:00,Mumbai,No,1,150,Rainy,Yes
,MH23WX5678,Bike,33,MCWG,Parking,Low,2024-03-15,16:45,Nashik,Yes,2,60,Cloudy,No
,MH24YZ6789,Truck,44,HMV,Speeding,High,2024-02-10,13:00,Thane,No,1,75,Clear,Yes
,MH25AB1234,Car,30,LMV,Overloading,High,2024-01-05,20:30,Aurangabad,Yes,3,30,Rainy,No
,MH26CD5678,Bike,26,MCWG,No Helmet,Low,2023-12-15,9:00,Pune,No,1,180,Foggy,Yes
,MH27EF6789,Truck,39,HMV,Signal Jump,Medium,2023-11-20,14:15,Mumbai,Yes,2,60,Clear,No
,MH28GH1234,Car,35,LMV,Speeding,High,2023-10-10,19:00,Nashik,No,1,90,Cloudy,Yes
,MH29IJ5678,Bike,22,MCWG,Parking,Low,2023-09-05,8:30,Thane,Yes,3,45,Rainy,No
,MH30KL6789,Truck,50,HMV,Overloading,High,2023-08-15,11:00,Aurangabad,No,1,120,Clear,Yes
,MH31MN1234,Car,29,LMV,No Helmet,Low,2023-07-20,15:30,Pune,Yes,2,30,Foggy,No
,MH48UV6789,Truck,46,HMV,Overloading,High,2022-02-20,14:30,Nashik,No,1,90,Clear,Yes
,MH49WX1234,Car,29,LMV,Speeding,High,2022-01-15,19:00,Thane,Yes,3,45,Rainy,No
,MH50YZ5678,Bike,27,MCWG,Parking,Low,2021-12-10,10:30,Aurangabad,No,1,180,Cloudy,Yes
,MH51AB6789,Truck,40,HMV,No Helmet,Low,2021-11-05,12:00,Pune,Yes,2,60,Clear,No
,MH52CD1234,Car,34,LMV,Signal Jump,Medium,2021-10-20,15:45,Mumbai,No,1,90,Rainy,Yes
,MH53EF5678,Bike,22,MCWG,Speeding,High,2021-09-15,8:00,Nashik,Yes,3,30,Foggy,No
,MH54GH6789,Truck,49,HMV,Overloading,High,2021-08-10,11:30,Thane,No,1,120,Clear,Yes
,MH55IJ1234,Car,30,LMV,No Helmet,Low,2021-07-05,20:00,Aurangabad,Yes,2,45,Rainy,No
,MH56KL5678,Bike,26,MCWG,Parking,Low,2021-06-15,9:15,Pune,No,1,150,Cloudy,Yes
,MH57MN6789,Truck,43,HMV,Speeding,High,2021-05-20,14:00,Mumbai,Yes,3,60,Clear,No
,MH58OP1234,Car,35,LMV,Signal Jump,Medium,2021-04-10,19:30,Nashik,No,1,90,Rainy,Yes
,MH59QR5678,Bike,24,MCWG,No Helmet,Low,2021-03-05,10:00,Thane,Yes,2,30,Foggy,No
,MH60ST6789,Truck,47,HMV,Overloading,High,2021-02-15,12:30,Aurangabad,No,1,120,Clear,Yes
,MH61UV1234,Car,29,LMV,Speeding,High,2021-01-20,15:00,Pune,Yes,3,45,Rainy,No
,MH62WX5678,Bike,31,MCWG,Parking,Low,2020-12-10,8:30,Mumbai,No,1,180,Cloudy,Yes
,MH63YZ6789,Truck,38,HMV,No Helmet,Low,2020-11-05,14:15,Nashik,Yes,2,60,Rainy,No
,MH12AB1234,Car,32,LMV,Speeding,High,2024-10-20,22:15,Pune,Yes,3,45,Clear,No
,MH01CD5678,Bike,24,MCWG,Parking,Low,2023-12-10,9:30,Mumbai,No,1,190,Cloudy,Yes
,MH09EF6789,Bike,29,MCWOG,No Helmet,Low,2024-02-15,17:00,Nashik,Yes,2,60,Rainy,No
,MH20GH4567,Truck,45,HMV,Signal Jump,Medium,2024-08-25,13:45,Nagpur,No,1,85,Clear,Yes
,DL01IJ9012,SUV,38,LMV,Drunk Driving,High,2024-05-05,23:45,Delhi,Yes,4,30,Clear,No
,KA02KL3456,Auto,28,LMV,Overloading,High,2024-07-12,8:20,Bengaluru,Yes,2,75,Rainy,No
,TN03MN7890,Bus,50,HMV,Wrong Lane,Medium,2023-11-30,16:10,Chennai,No,1,200,Cloudy,Yes
